school,specialization
deakin university,"['commerce', 'commerce', 'commerce', 'information technology']"
di an,['chuyen nganh']
di lam,"['thu ky', 'chuyen vien']"
di nong lam,['dieu khien tu dong']
di su pham hcm,['cong nghe thong tin']
dien xi nghiep,['dien']
digital marketing,['marketing']
dinh,['hoc het cap 3']
diplomatic academy of vietnam,"['francais des relations internationales', 'international la']"
diseno grafico,['chuyen nganh']
dl tran hung dao hue,['pho thong']
doanh nghiep viet tam duc,['thiet ke do hoa 2d']
doanh nhan pace,['chro - giam doc nhan su']
doanh nhan pti,['ceo']
doi,"['dao lam nguoi', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'hut chich phe pha', 'chuyen nganh']"
don bosco,['dien tu']
dong nai college of decorative arts,['chuyen nganh']
dong nai university,['english language']
dong nai university of technology,['food technology']
dong tan,['toangioi']
donzuri ben yu xue xiao,['chuyen nganh']
doric,['hoa vien kien truc']
dpi center,"['thiet ke do hoa', 'thiet ke do hoa']"
dpicenter,['graphic design']
dtu danang,['quan tri du lich']
du hoc ba lan ha lan,['chuyen nganh']
du lich khach san saigontourist,['quan tri khach san']
du lich nha hangg,['am thuc']
du lich saigon tourist,['quan tri luu tru']
du lich van hoa suoi tien,['khoa dao tao ky nang giao tiep']
du lich viet travel,['huong dan vien du lich']
duhoc net,['chuyen nganh']
duoc tue tinh,['duoc']
duong ba trac,['binh thuong']
duong doi,['chuyen nganh']
duong quang ham,['khoi a']
duy tan university,"['marketing', 'finance and banking', 'hoc business administration', 'business administration', 'tai chinh ngan hang', 'hospitality and tourism management', 'du lich khach san', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh ngan hang']"
east asia institute of management easb,['business management']
eduviet corporation,['nghe nhan su chuyen nghiep']
elite pr school,['public relation']
em business school,['marketing']
english anh thay,['chuyen nganh']
erc institute,['marketing']
estih,"['quan tri van phong', 'tin hoc van phong']"
esuhai,['tieng nhat']
euh,['banking & finance']
family montessori pre school,['philosophy of montessori education method training course']
family nurse practitioner,['chuyen nganh']
finance marketing,['international business']
fmit,"['software testing', 'istqb']"
