,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
1909,THPT Tan Phu,trung hoc pho thong tan phu,trung hoc pho thong tan phu,0,0,0
1910,Đại Học Kinh Tế Hồ Chí Minh,dai hoc kinh te hcm,dai hoc kinh te hcm,0,0,0
1911,THPT Nguyễn Trãi ,trung hoc pho thong nguyen trai,trung hoc pho thong nguyen trai,0,0,0
1912, Trường Đại học Tôn Đức Thắng ,dai hoc ton duc thang,dai hoc ton duc thang,0,0,0
1913,Foreign Trade University,foreign trade university,dai hoc ngoai thuong,Kinh Tế đối ngoại,kinh te doi ngoai,kinh te
1914,HUTECH - Đại học Công nghệ Tp.HCM,hutech dai hoc cong nghe hcm,dai hoc cong nghe hcm,Anh văn thương mại ,anh van thuong mai,anh van thuong mai
1915,Cao đẳng sư phạm Thái nguyên,cao dang su pham thai nguyen,cao dang su pham thai nguyen,0,0,0
1916,Trường Cao đẳng Văn hóa Nghệ thuật Hà Nội ,cao dang van hoa nghe thuat ha noi,cao dang nghe thuat ha noi,0,0,0
1917,National istiduce of education and management,national istiduce of education and management,CannotFound,0,0,0
1918,Trường Quân sự Bộ Tư lệnh Thành phố Hồ Chí Minh,quan su bo tu lenh hcm,CannotFound,Cao Đẳng liên thông ngành Quân sự cơ sở khóa III ,cao dang lien thong nganh quan su co so khoa 3,quan su co so
