raw,new,score
Đại học kinh tế kỹ thuật công nghiệp,dai hoc kinh te ky thuat cong nghiep,78
đại học công nghiệp thành phố hồ chí minh,dai hoc cong nghiep   hcm,61
Viet Uc College,viet uc college,80
đh kinh tế quốc dân, dai hoc  kinh te quoc dan,67
Trường Đại học Hà Nội,dai hoc ha noi,40
đại học Hà Nội,dai hoc ha noi,62
Trường Đại học Lao động-Xã hội CSII,dai hoc lao dong xa hoi co so  2 ,41
trung học phổ thông Hoàng Diệu,trung hoc pho thong hoang dieu,77
Đại Học Khoa Học Tự Nhiên Hà Nội,dai hoc khoa hoc tu nhien ha noi,53
Colledge of Finance & Customs,colledge of finance   customs,86
Cao ĐẲNG Nghề SAIGON,cao dang nghe saigon,33
ĐH Bách Khoa Hà Nội, dai hoc  bach khoa ha noi,44
FSB,fsb,0
Đại học Thủy Lợi,dai hoc thuy loi,56
THPT Lý Tự Trọng,thpt ly tu trong,38
Trung cấp Công Nghệ Thú Y TP.HCM,trung cap cong nghe thu y  hcm,55
đại học thuỷ lơi,dai hoc thuy loi,69
Nanyang Technology University,nanyang technology university,90
đại học sư phạm hà nội,dai hoc su pham ha noi,68
Trường GTVT 2,giao thong van tai 2,30
Đại Học Thương Mại,dai hoc thuong mai,62
Đại học Công Nghiệp,dai hoc cong nghiep,68
Kinh doanh công nghệ Hà Nội,kinh doanh cong nghe ha noi,74
hv công nghệ bưu chính viễn thông,hv cong nghe buu chinh vien thong,82
"Đại học Bà Rịa - Vũng Tàu, Tp. Vũng Tàu",dai hoc ba ria   vung tau    vung tau,50
Đại học Tôn Đức Thắng,dai hoc ton duc thang,57
Học viện Ngân hàng,hoc vien ngan hang,67
Đại học Luật Hà Nội,dai hoc luat ha noi,53
đại học hà nội,dai hoc ha noi,64
Đại Học Công Nghiệp Hà Nội,dai hoc cong nghiep ha noi,54
trung cấp tổng hợp Đông Nam Á,trung cap tong hop dong nam a,76
đại học thắng long,dai hoc thang long,78
Đại học Mở Tp HCM,dai hoc mo  hcm,44
Trường Đại học Kinh tế - Luật,dai hoc kinh te   luat,55
Đại học Kiến Trúc Đà Nẵng,dai hoc kien truc da nang,56
Viện Đại học Mở Hà Nội,vien dai hoc mo ha noi,50
ĐH Khoa học xã hội và Nhân văn, dai hoc  khoa hoc xa hoi nhan van,56
Đại học ngoại ngữ - ĐHQGHN,dai hoc ngoai ngu    dai hoc  quoc gia ha noi,39
trung cấp y tế,trung cap y te,86
cao đẳng xây dựng số 2,cao dang xay dung so 2,72
Đại học Mở,dai hoc mo,50
Trường Đại Học Kỹ Thuật Công Nghiệp,dai hoc ky thuat cong nghiep,51
Đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,58
Cao Đẳng Kinh Tế Tp. Hồ Chí Minh,cao dang kinh te   hcm,52
Cao Đẳng Kinh Tế Tp. Hồ Chí Minh,cao dang kinh te   hcm,52
cao đẳng kinh tế kỹ thuật Vinatex,cao dang kinh te ky thuat vinatex,82
ĐẠI HỌC KINH TẾ TPHCM,dai hoc kinh te hcm,20
NIIT,n 2 t,0
Nông Lâm Tp.HCM,nong lam  hcm,36
cao đẳng y tế bạc liêu,cao dang y te bac lieu,77
Đại học Giao Thông Vận Tải Hà Nội,dai hoc giao thong van tai ha noi,58
Trường cao đẳng Y Tế Hải Phòng,cao dang y te hai phong,53
đại học Tôn Đức Thắnh,dai hoc ton duc thanh,57
Đại học Sân khấu Điện ảnh Hà Nội,dai hoc san khau dien anh ha noi,59
Học Viện Kỹ Thuật Quân sự,hoc vien ky thuat quan su,58
University of Transport Technology,university of transport technology,91
Đại học Lao Động Xã Hội Cs2,dai hoc lao dong xa hoi co so 2,55
Học viện thanh thiếu niên việt nam,hoc vien thanh thieu nien viet nam,82
đại học điện lưc,dai hoc dien luc,62
Cao đẳng Du lịch Hà Nội,cao dang du lich ha noi,61
Cao đẳng thực hành FPT Polytechnic,cao dang thuc hanh fpt polytechnic,74
Đại học mở - hà nội,dai hoc mo   ha noi,63
Trường THCS Hậu Giang,thcs hau giang,40
Viện Đại học Mở Hà Nội,vien dai hoc mo ha noi,50
Đại học Duy Tân,dai hoc duy tan,60
Đại học Duy Tân,dai hoc duy tan,60
Trương Định,dinh,27
Đại học Ngoại Thương,dai hoc ngoai thuong,60
Huflit University,huflit university,88
Cao đẳng sự phạm trung ương TP HCM,cao dang su pham trung uong  hcm,67
Trường Đại Học Kinh tế Đà Nẵng,dai hoc kinh te da nang,49
Cao Đẵng Văn Hoá Nghệ Thuật Và Du Lịch Sài Gòn,cao dang van hoa nghe thuat du lich sai gon,56
ĐH Tài chính Marketing, dai hoc  tai chinh marketing,63
