,school,major,example_school,data_school,example_major,data_major
7668,Trung cấp nghề vĩnh long,quản trị mạng,dai hoc fpt,CannotFound,nhac jazz,quan tri mang
7669,cao đẳng y dược Pasteur,điều dưỡng,dai hoc cong nghiep hcm,cao dang y duoc pasteur hcm,kiem toan,dieu duong
7670,đại học tài chính mảketing,quản trị kinh doanh tổng hợp,dai hoc cong nghiep thuc pham hcm,dai hoc tai chinh marketing,phan tich du lieu kinh doanh,quan tri kinh doanh
7671,cao đẳng cộng đồng đồng tháp,chuyên ngành công nghệ thực phẩm,dai hoc kinh te dai hoc da nang,cao dang cong dong dong thap,ke toan,cong nghe thuc pham
7672,ĐH Tân Tạo,Khoa Kỹ Thuật Điện,dai hoc kinh te tai chinh hcm,dai hoc tan tao,ngon ngu anh,ky thuat dien
7673,trường đại học công nghiệp thành phố Hồ Chí Minh,công nghệ thực phẩm,dai hoc cong nghe hcm,dai hoc cong nghiep hcm,ke toan,cong nghe thuc pham
7674,nguyễn an ninh,học sinh,trung hoc pho thong,CannotFound,trung quoc hoc,sinh hoc
7675,Đại học Quốc Gia Hà Nội,Kinh doanh Quốc Tế,dai hoc phu yen,dai hoc quoc gia ha noi,su pham hoa hoc,kinh doanh quoc te
7676,hướng nghiệp á âu,làm bánh,trung cap,CannotFound,duoc hoc,lam banh
7677,Đại học Sài Gòn,Kế toán,dai hoc ngoai ngu dai hoc da nang,dai hoc sai gon,quoc te hoc,ke toan
7678,THPT Long Kiến,THPT,dai hoc tai chinh marketing,trung hoc pho thong long kien,he thong thong tin quan ly,trung hoc pho thong
7679,fpt,digital marketing,dai hoc ngoai thuong,dai hoc fpt,kinh te doi ngoai,digital marketing
7680,ĐH Sư Phạm HCM,QLGD,dai hoc cong nghiep hcm,dai hoc su pham hcm,kiem toan,qlgd
7681,Đại Học An Giang,Kinh Tế Đối Ngoại,cao dang thuong mai,dai hoc an giang,quan tri kinh doanh,kinh te
7682,Trường dạy nghề Quốc Thảo,Thiết kế rập thời trang,dai hoc duy tan,CannotFound,ky thuat xay dung,thiet ke thoi trang
7683,trường đại học kinh tế tài chính,kinh doanh quốc tế,dai hoc giao thong van tai,dai hoc kinh te tai chinh hcm,xay dung cau duong,kinh doanh quoc te
7684,trung cấp Bến Thành,công nghệ may,dai hoc bach khoa hcm,CannotFound,quan ly benh vien,cong nghe det may
7685,Trường Cao Đẳng Y Tế Đồng Tháp,Y sĩ,cao dang nghe ky thuat my nghe viet nam,cao dang y te dong thap,ky thuat hang khong,y si
7686,Bách khoa Hà Nội,Quản lý Môi Trường,dai hoc griffith,dai hoc bach khoa ha noi,cong nghe sinh hoc,quan ly tai nguyen moi truong
7687,Trà Vinh,Quản Trị Kinh Doanh,dai hoc kinh te ky thuat cong nghiep,dai hoc tra vinh,ke toan,quan tri kinh doanh
7688,Đại học Công nghiệp Hà Nội,kế toán kiểm toán,dai hoc cong nghiep hcm,dai hoc cong nghiep ha noi,quan tri kinh doanh,kiem toan
7689,thpt nguyen ngoc thang,khong co,dai hoc su pham hcm,trung hoc pho thong nguyen ngoc thang,giao duc mam non,khong co
7690,NIIT,java,dai hoc mo hcm,CannotFound,kinh te,java
7691,Đại học Công Nghiệp HN,Kế toán kiểm toán,si quan khong quan,dai hoc cong nghiep ha noi,chi huy tham muu tang thiet giap,kiem toan
7692,Trường Đại Học Côbg Nghiệp Thực Phẩm TP.HCM,Hóa phân tích,cao dang nghe da nang,dai hoc su pham hcm,cong nghe ky thuat dien dien tu,hoa phan tich
7693,Đại học Kinh tế Đà Nẵng,Kế Toán,dai hoc thanh dong,dai hoc kinh te da nang,quan he lao dong,ke toan
7694,Đại học kinh tế tài chính,Ngôn ngữ anh,cao dang nghe song da,dai hoc kinh te tai chinh hcm,cong nghe thong tin,ngon ngu anh
7695,đại học công nghệ tp.hcm,kế toán,dai hoc quang nam,dai hoc cong nghe hcm,su pham vat ly,ke toan
7696,trung học phước long,trung học cơ sở,dai hoc nong lam hcm,trung hoc phuoc long,co khi o to,trung hoc co so
7697,Đại học SP Phú Yên,Sư phạm Hóa học,cao dang kinh te ky thuat vinatex,dai hoc su pham hue,quan tri kinh doanh,su pham hoa hoc
7698,Trường trung cấp Phương Nam,Dược sỹ,dai hoc phuong dong,CannotFound,xay dung dan dung cong nghiep,duoc sy
7699,Đại học ngoại ngữ Đà Nẵng,Quốc Tế Học,trung cap,dai hoc ngoai ngu da nang,ly luan lich su phe binh my thuat,quoc te hoc
7700,Trường Đại học Tài chính - Marketing,Hệ thống thông tin quản lý,dai hoc tai chinh marketing,dai hoc tai chinh marketing,cong nghe tham my,he thong thong tin quan ly
7701,ĐH Ngoại Thương,Kinh tế đối ngoại,hoc vien cong nghe buu chinh vien thong,dai hoc ngoai thuong,ky thuat dien tu vien thong,kinh te
7702,Trường Đại Học Công Nghiệp TP.HCM,Chuyên ngành Kế Toán - Kiểm Toán,trung cap,dai hoc cong nghiep hcm,dieu duong,chuyen nganh
7703,Cao Đẳng Thương Mại,Quản trị kinh doanh,dai hoc nguyen tat thanh,cao dang thuong mai,cong nghe tham my,quan tri kinh doanh
7704,Đại học Duy Tân,kỹ sư xây dựng,dai hoc sao do,dai hoc duy tan,ke toan,ky su xay dung
7705,Đại học giao thông vận tải hà nội,xây dựng cầu đường,dai hoc cong nghe hcm,dai hoc giao thong van tai,ke toan tai chinh,xay dung cau duong
7706,Đại học Bách KHOA,Điện Lạnh,dai hoc kinh te ky thuat cong nghiep,dai hoc bach khoa ha noi,quan tri kinh doanh,dien lanh
7707,trường cao đẳng nghề kỹ thuật việt đức,kỹ thuật máy lạnh và điều hòa không khí,hoc vien bao chi tuyen truyen,cao dang nghe ky thuat my nghe viet nam,quan he cong chung,ky thuat may lanh dieu hoa khong khi
7708,cghbbvcghgđghfffs,gghhh,dai hoc tai chinh marketing,CannotFound,tai chinh doanh nghiep,gghhh
7709,Đại học Kimh tế Kỹ thuật Công nghiệp,Kế toán,trung hoc pho thong,dai hoc kinh te ky thuat cong nghiep,xay dung dan dung cong nghiep,ke toan
7710,Đại học Công Nghiệp Thành phố Hồ Chí Minh,Quản trị kinh doanh,day nghe,dai hoc cong nghiep hcm,thuong mai dien tu,quan tri kinh doanh
7711,Đại học Sư Phạm Hồ Chí Minh,Giáo Dục Mầm non,dai hoc bach khoa ha noi,dai hoc su pham hcm,ky thuat dien tu vien thong,giao duc mam non
7712,Đại học Mở Tp Hồ Chí Minh,Kinh tế,cao dang kinh te ky thuat thu duc,dai hoc mo hcm,tieng anh thuong mai,kinh te
7713,Trần Quang Khải,k có,trung hoc pho thong,CannotFound,pho thong,k co
7714,cao đẳng công nghệ đà nẵng,cônh nghệ kỹ thuật điện,dai hoc viet bac,cao dang nghe da nang,pha che,cong nghe ky thuat in
7715,bv thong nhat,x quang,dai hoc cong nghiep hcm,CannotFound,quan tri dich vu du lich lu hanh,x quang
7716,cao đẳng nghề số 8,công nghệ thông tin,dai hoc hong duc,cao dang nghe so 8,quan ly dat dai,cong nghe thong tin
7717,đại học quảng nam,sư phạm vật lý,dai hoc cong nghe thong tin hcm,dai hoc quang nam,quan tri kinh doanh,su pham vat ly
7718,TRƯỜNG ĐẠI HỌC NÔNG LÂM TPHCM,KĨ SƯ CƠ KHÍ,dai hoc khoa hoc xa hoi nhan van ha noi,dai hoc nong lam hcm,quan tri su kien,ki su co khi
7719,cao đẳng kinh tế kỹ thuật vinatex việt nam,quản trị kinh doanh,trung hoc pho thong,cao dang kinh te ky thuat vinatex,hoc sinh,quan tri kinh doanh
7720,đại học phương đông,xây dựng dân dụng & công nghiệp,dai hoc khoa hoc tu nhien ha noi,dai hoc phuong dong,phan tich du lieu kinh doanh,xay dung dan dung cong nghiep
7721,truong trung cap quan su quan khu 2 vinh phuc,2004,trung hoc co so,CannotFound,pho thong,2004
7722,Đại học Tài chính Marketing,Thẩm Định Giá,dai hoc kinh te tai chinh hcm,dai hoc tai chinh marketing,quan he quoc te,tham dinh gia
7723,Học viện công nghệ bưu chính viễn thông,Kỹ thuật Điện tử - Viễn thông,trung cap,hoc vien cong nghe buu chinh vien thong,pho thong,ky thuat dien tu vien thong
7724,trường trung cấp âu việt,điều dưỡng đa khoa,cao dang ben tre,CannotFound,logistics quan ly chuoi cung ung,dieu duong
7725,nguyen huu canh,co khi che tao,cao dang y duoc hcm,CannotFound,dieu duong,co khi che tao
7726,Đại học sao đỏ,kế toán,dai hoc quang nam,dai hoc sao do,kinh te,ke toan
7727,Trường Đại Học Công Nghệ TP.HCM,Kế toán tài chính,dai hoc tai chinh quan tri kinh doanh,dai hoc cong nghe hcm,ke toan,ke toan tai chinh
7728,Đại học Kinh tế kĩ thuật công nghiệp Hà nội,Quản trị kinh doanh,trung hoc co so,dai hoc kinh te ky thuat cong nghiep,hoc sinh,quan tri kinh doanh
7729,Học viện Báo chí và Tuyên truyền,Quan hệ công chúng,dai hoc quang trung,hoc vien bao chi tuyen truyen,quan he quoc te,quan he cong chung
7730,Đại học Tai chính - Marketing,Tài chính doanh nghiệp,dai hoc kinh te luat hcm,dai hoc tai chinh marketing,kiem toan,tai chinh doanh nghiep
7731,thpt lang chánh,điện dân dụng,cao dang nghe co dien ha noi,trung hoc pho thong lang chanh,co ky thuat,dien dan dung
7732,Dạy Nghề Thanh Xuân,Điện Tử,trung hoc pho thong,CannotFound,pho thong,dien tu
7733,Đại học Bách Khoa Hà Nội,Điện tử viễn thông,trung cap,dai hoc bach khoa ha noi,dieu duong,ky thuat dien tu vien thong
7734,Bach Viet College,English Business,hoc vien can bo hcm,cao dang bach viet,cong tac xa hoi,english business
7735,THPT PHAN NGỌC HIỂN,Trung học phổ thông,cao dang cong thuong hcm,trung hoc pho thong phan ngoc hien,trung cap,trung hoc pho thong
7736,khoi viet,nha hang khach san,cao dang kinh te cong nghe hcm,CannotFound,quan tri nhan luc,nha hang khach san
7737,Đại Học Công Nghiệp TPHCM,Quản Trị Du Lịch,dai hoc ngoai thuong,dai hoc cong nghiep hcm,quan tri kinh doanh,quan tri du lich khach san
7738,đại học hồng đức,quản lý đất đai,trung hoc pho thong,dai hoc hong duc,su pham tieng anh,quan ly dat dai
7739,Đại Học Công Nghệ Thông Tin Gia Định,Quản Trị Kinh Doanh,dai hoc gia dinh,dai hoc cong nghe thong tin dai hoc quoc gia hcm,cong nghe thong tin,quan tri kinh doanh
7740,Trường Đại học Khoa học Xã hội và Nhân văn,Quản trị sự kiện,dai hoc nguyen tat thanh,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,trung cap,quan tri su kien
7741,thpt Tân Phú,học sinh,dai hoc vo toan,trung hoc pho thong tan phu,pho thong,sinh hoc
7742,Trường Đại học Khoa học Tự nhiên - ĐHGQHN,Hoá Phân tích,dai hoc su pham hcm,dai hoc khoa hoc tu nhien dai hoc gqhn,cong nghe thong tin,hoa phan tich
7743,THCS Nam Thái,không,dai hoc da nang,trung hoc co so nam thai,quan tri kinh doanh,khong
7744,Đại học kinh tế-tài chính ,Quan hệ quốc tế,dai hoc nguyen tat thanh,dai hoc kinh te tai chinh hcm,trung cap,quan he quoc te
7745,trung co so thuy hoa,pho thong,dai hoc nguyen tat thanh,CannotFound,duoc hoc,pho thong
7746,icare,"sua chua may tinh,  laptop phan mem, phan cung",dai hoc nguyen trai,CannotFound,trung cap,sua chua may tinh laptop phan mem phan cung
7747,cao đẳng y dược hồng đứctơit ngiệo cấp 3,điều dưỡng,trung cap,cao dang y duoc hong ductoit ngieo cap 3,duoc hoc,dieu duong
7748,Đại học Dân tộc Quảng Tây,Kinh tế mậu dịch,dai hoc ton duc thang,dai hoc dan toc quang tay,quan he lao dong,kinh te
7749,CD tc quan tri kinh doanh,kế toán,cao dang cong nghe thu duc,cao dang tc quan tri kinh doanh,ke toan,ke toan
7750,thcs  chu điện,học sinh,dai hoc cong nghe hcm,trung hoc co so chu dien,quan tri kinh doanh,sinh hoc
7751,truong quan su quan doan 4,quan ly,dai hoc cong nghiep hcm,CannotFound,co khi o to,quan ly cong
7752,Trường Đại học Kinh tế - Luật,Kế toán - Kiểm toán,dai hoc cong nghe dong a,dai hoc kinh te luat dai hoc quoc gia hcm,quan tri mang may tinh,kiem toan
7753,Trường cao đẳng nghề cơ điện Hà Nội,Thuỷ Lợi,dai hoc duy tan,cao dang nghe co dien ha noi,quan tri kinh doanh,thuy loi
7754,thpt xuân thọ,không có,dai hoc tai chinh marketing,trung hoc pho thong xuan tho,thanh nhac,khong co
7755,trung cấp y tế quảng trị,điều dưỡng đa khoa,dai hoc greenwich,CannotFound,thiet ke do hoa,dieu duong
7756,Học Viện cán bộ,công tác xã hội,cao dang co khi nong nghiep,hoc vien can bo hcm,ky thuat dien,cong tac xa hoi
7757,Trường Cao Đẳng Công Thương TP Hồ Chí Minh,Trung Cấp Kế Toán,dai hoc quy nhon,cao dang cong thuong hcm,toan kinh te,ke toan
7758,Trường Cao Đẳng Kinh Tế- Công Nghệ TP HCM,Quản trị nhân sự,dai hoc tien giang,cao dang kinh te cong nghe hcm,cong nghe thong tin,quan tri nhan luc
7759,Đại Học Ngoại Thương CS II,quản trị kinh doanhTham,dai hoc thuy loi,dai hoc ngoai thuong,ke toan,quan tri kinh doanh
7760,Trường THPT Sương Nguyệt Anh,Tiếng Anh,dai hoc thuy loi co so 2 hcm,trung hoc pho thong suong nguyet anh,kinh te xay dung,su pham tieng anh
