,school,major,example_school,data_school,example_major,data_major
7869,học viện quân y,bác sĩ đa khoa,dai hoc cong nghiep thuc pham hcm,hoc vien quan y,cong nghe ky thuat hoa hoc,bac si da khoa
7870,cao đẳng y tế bình thuận,y sỹ đa khoa,dai hoc hoa sen,cao dang binh thuan,ke toan,y khoa
7871,Cao Đẳng nghề Đà Lạt,Kế toán doanh nghiệp,dai hoc kinh te ky thuat cong nghiep,cao dang nghe da lat,quan tri kinh doanh,ke toan doanh nghiep
7872,TT GDTX TÂN PHÚ,khối C,trung cap,CannotFound,lai xe,khoi c
7873,thpt tân châu,12/12,dai hoc sai gon,trung hoc pho thong tan chau,giao duc mam non,12/12
7874,cao đẳng công nghiệp việt đức,cơ khí ( cắt gọt kim loại),cao dang phat thanh truyen hinh i,cao dang cong nghiep viet duc,ke toan,co khi
7875,đại học Sư Phạm Kỹ Thuật Hưng Yên,thiết kế thời trang,dai hoc su pham ha noi,dai hoc su pham ky thuat hung yen,su pham vat ly,thiet ke thoi trang
7876,Đại học kinh tế quốc gia Belarus,Hoạt động thương mại,cao dang viet my,dai hoc kinh te quoc dan,quan tri kinh doanh,hoat dong thuong mai
7877,học viện phụ nữ việt nam,công tác xã hội,cao dang nghe hcm,hoc vien phu nu viet nam,cong nghe thuc pham,cong tac xa hoi
7878,Trường ĐH Khoa học Tự Nhiên TP HCM,Quản lý môi trường,dai hoc cong nghiep hcm,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,truyen thong da phuong tien,quan ly tai nguyen moi truong
7879,HCMC university of Pedagogy,English language,cao dang cong nghiep in,hcm university of pedagogy,cong nghe ky thuat dien dien tu,ngon ngu anh
7880,MobiPro - Trung tâm đào tạo lập trình cho di động chuyên nghiệp,Android,dai hoc fpt,CannotFound,su pham tieng nhat,android
7881,Viện DH Mở Hà Nội,Tài Chính Ngân Hàng,dai hoc my thuat cong nghiep,dai hoc mo ha noi,thiet ke do hoa,tai chinh ngan hang
7882,cong nghe giao thong van tai,xay dung,cao dang y te bach mai,dai hoc cong nghe giao thong van tai,dieu duong,quan ly xay dung
7883,đại học bà rịa vũng tàu,hóa học,cao dang y te khanh hoa,dai hoc ba ria vung tau,vat ly hoc,hoa hoc
7884,Đại học Khoa học Xã hội và Nhân văn,Văn học,cao dang thuy loi bac bo,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,ke toan,van hoc
7885,cao dang cong nghe thong tin,quan tri kinh doanh,dai hoc cong nghiep hcm,cao dang cong nghe thong tin hcm,quan tri kinh doanh quoc te,quan tri kinh doanh
7886,cao đẳng kinh tế TPHCM,quản trị kinh doanh,dai hoc kinh te dai hoc hue,cao dang kinh te hcm,kinh doanh quoc te,quan tri kinh doanh
7887,trường cao đẳng công thương,kế toán,dai hoc cong nghe hcm,cao dang cong thuong hcm,ke toan,ke toan
7888,Trường Đại học Cần Thơ,Kỹ sư chăn nuôi - Thú y,trung tam,dai hoc can tho,cong tac xa hoi,ky su chan nuoi thu y
7889,Đại Học Quy Nhơn,Quản Trị Kinh Doanh,dai hoc cong nghiep det may ha noi,dai hoc quy nhon,cong nghe may,quan tri kinh doanh
7890,Cao Đẳng Quốc Tế TPHCM,Kế Toán Doanh Nghiệp,dai hoc xay dung ha noi,cao dang quoc te hcm,cong nghe thong tin,ke toan doanh nghiep
7891,Đại học công nghiệp thực phẩm,Công nghệ hóa học,dai hoc kinh te quoc dan,dai hoc cong nghiep hcm,kinh te nong nghiep,cong nghe hoa hoc
7892,Đại học Hoa Sen,Kế toán,cao dang kinh te cong nghe hcm,dai hoc hoa sen,ke toan,ke toan
